price;price_per_sqft;photos_count;furnishing;bedroom;bathroom;tenant_preferred;availability;carpet_tot;super_tot;area;floor;num_floor;facing;overlooking;ownership;balcony;nb_caract_descript;contact;operating_since;buyers_served;titre;description
70000;54;20;Furnished;3;3;Bachelors/Family;Immediately;1300;;1300;2 out of 5;2;East;Main Road;;1;387;Agent ;;;3 BHK Builder Floor for Rent in Kishangarh, Vasant Kunj, New Delhi;3bhk flat available for rent in kishangarh,, vasant kunj. As we gave modular kitchen chimney, geyser, ro ,, with lift,, car, bike parking facility,, common terrace,, 24x7 security,, 24x7 water supply,, government meter,, on road property,, 45feet wide road,, loan available,, registry flats,,, near apex tower,, car market,, nearest metro chattarpur The monthly maintenance is Rs 2000/-.
18000;36;16;Semi-Furnished;1;1;Bachelors;Immediately;500;;500;2 out of 4;2;North - East;Garden/Park, Main Road;;1;98;Agent ;;;1 BHK Builder Floor for Rent in Saket, New Delhi;1bhk a luxury flats available near saket location IGNOU road The monthly maintenance is Rs 1000/-.
95000;35;9;Unfurnished;3;3;Bachelors/Family;Immediately;2700;;2700;2 out of 3;2;;Garden/Park;;2;134;Agent ;;;3 BHK Builder Floor for Rent in New Friends Colony, New Delhi;3 BHK, Builder Floor Apartment is available for Rent in New Friends Colony, New Delhi for 95,000 The monthly maintenance is Rs 2000/-.
100000;28;11;Unfurnished;3;3;Bachelors;Immediately;;3600;3600;1 out of 4;1;West;Garden/Park, Main Road;;3;169;Agent ;;;3 BHK Builder Floor for Rent in Safdarjung Enclave, New Delhi;Builder floor apartment is available for rent in Safdarjung enclave first floor 3 bedroom, 3 bathrooms, lift, out side car parking. The monthly maintenance is Rs 7500/-.
150000;71;8;Semi-Furnished;3;3;Bachelors/Family;Immediately;2106;;2106;Ground out of 4;0;North;Garden/Park;;2;602;Agent ;1985;;3 BHK Builder Floor for Rent in Defence Colony, New Delhi;Builder floor available for rent in defence colony, plot area 234 sqyds, located on the ground floor, north facing, park facing, with lift and stilt parking, this property has 3 good bedrooms with attached washrooms, 2 cars parking in stilt area, spacious drawing dining, modular kitchen, and modern fittings in washroom, balconies. This property has all modern fixtures, fitting, italian tiles and there is proper ventilation available, good specification, wide road, security available, near to metro connectivity, freehold property. Contact us for more details. The monthly maintenance is Rs 5000/-.
280000;82;14;Unfurnished;4;4;Bachelors/Family;Immediately;3420;;3420;3 out of 4;3;South -West;Garden/Park, Main Road;;3;331;Agent ;2000;;4 BHK Builder Floor for Rent in Vasant Vihar Builder Floor, Vasant Vihar, New Delhi;4bhk builder floor for rent in vasant vihar. This is on the third floor with terrace of 4 floor building. This floor comes with 4 bedrooms with attached bathrooms and 3 balconies. This builder floor provides you the covered area of 400sq. Yards. Rent price of this floor is 2. 80 lac per month The monthly maintenance is Rs 5000/-.
80000;36;11;Unfurnished;3;3;Bachelors;Immediately;2250;;2250;2 out of 3;2;East;Garden/Park, Main Road;;3;47;Agent ;2006;;3 BHK Builder Floor for Rent in Malviya Nagar, New Delhi;owner Free The monthly maintenance is Rs 500/-.
260000;72;4;Semi-Furnished;4;5;Bachelors/Family;Immediately;;3600;3600;2 out of 4;2;East;Garden/Park;;3;572;Agent ;;;4 BHK Builder Floor for Rent in Vasant Vihar, New Delhi;Specious builder floor available for rent in Vasant vihar having Second floor, 400sq. yards, 4 bedrooms with attached bathroom, living room, modular kitchen, all rooms have ac, and bathrooms have geysers, fitting and fixtures, lift, servant quarter, Vaastu perfect, power backup, security, fully ventilation with sun light in all rooms, 24 hrs. water supply, no rear power cut, easy to accessibility in all area, wide road. We have so many options available in other areas.  For more details, please feel free or contact with Us.MANY MORE OPTIONS AVAILABLE IN SOUTH DLEHI.
260000;72;4;Semi-Furnished;4;5;Bachelors/Family;Immediately;;3600;3600;2 out of 4;2;North - East;Garden/Park;;2;595;Agent ;;;4 BHK Builder Floor for Rent in Vasant Vihar, New Delhi;Property Available for Rent Second floor with new interior, luxurious builder floor available for Rent in Vasant Vihar, plot size 400sq. yards having 4 bedrooms with attached bathrooms, drawing, dinning, powder room, modular kitchen with modern amenities, semi furnished like, wardrobes, ac, geyser, chimney property have servant quarter, lift, stilt 2 car parking, security, power backup, excellent location with wide road. We have many more options available in south Delhi.We assure you that we will get you the best house in south Delhi as per your requirements with smooth and professional.
25000;68;4;Furnished;;1;Bachelors;Immediately;367;;367;5 out of 14;5;North - East;Garden/Park, Main Road;Co-operative Society;;110;Agent ;;; Studio Apartment for Rent in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar New Delhi;IRK or studio apartment is available for Rent in DLF Capital greens, one The monthly maintenance is Rs 1000/-.
