Titre,image,mbsrp_card_photo_figcount,mbsrp_card_photo_figpost,nom,mbsrp_card_adssince,mbsrp_card_adsserved,nom_lien,nom1,motclé,motclé2,motclé3,motclé4,motclé5,motclé6,motclé7,motclé8,motclé9,motclé10,motclé11,champ,prix,prix12,mbsrp_actionbtn,mbsrp_actionbtn13
"3 BHK Builder Floor for Rent in Kishangarh, Vasant Kunj, New Delhi",https://img.staticmb.com/mbphoto/property/cropped_images/2024/Dec/30/Photo_h300_w450/76779811_7_hatsAppImage20241205at5.03.13PM1Copy_300_450.jpeg,"20
+
Photos",Posted:   Today,,,,,,"FURNISHING
Furnished","BATHROOM
3","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
1300 sqft","FLOOR
2 out of 5","FACING
East","OVERLOOKING
Main Road","BATHROOM
3","BALCONY
1",,"3bhk flat available for rent in kishangarh,, vasant kunj. As we gave modular kitchen chimney, geyser, ro ,, with lift,, car, bike parking facility,, common terrace,, 24x7 security,, 24x7 water supply,, government meter,, on road property,, 45feet wide road,, loan available,, registry flats,,, near apex tower,, car market,, nearest metro chattarpur The monthly maintenance is Rs 2000/-.","₹
70,000",Security Deposit,Contact Agent ,Get Phone No. 
"1 BHK Builder Floor for Rent in Saket, New Delhi",https://img.staticmb.com/mbphoto/property/cropped_images/2024/Oct/09/Photo_h300_w450/75375105_8_PropertyImage87-03042108100168_300_450.jpg,"16
+
Photos",Posted:   Yesterday,,,,,,"FURNISHING
Semi-Furnished","BATHROOM
1","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
500 sqft","FLOOR
2 out of 4","FACING
North - East","OVERLOOKING
Garden/Park, Main Road","BATHROOM
1","BALCONY
1",,1bhk a luxury flats available near saket location IGNOU road The monthly maintenance is Rs 1000/-.,"₹
18,000",Security Deposit,Contact Agent ,Get Phone No. 
"3 BHK Builder Floor for Rent in New Friends Colony, New Delhi",https://img.staticmb.com/mbphoto/property/cropped_images/2024/Aug/25/Photo_h300_w450/74531453_8_PropertyImage885-0532953894063_300_450.jpg,"9
+
Photos",Posted:   Today,,,,,,"FURNISHING
Unfurnished","BATHROOM
3","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
2700 sqft","FLOOR
2 out of 3","OVERLOOKING
Garden/Park","BATHROOM
3","BALCONY
2",,,"3 BHK, Builder Floor Apartment is available for Rent in New Friends Colony, New Delhi for 95,000 The monthly maintenance is Rs 2000/-.","₹
95,000",Security Deposit,Contact Agent ,Get Phone No. 
"3 BHK Builder Floor for Rent in Safdarjung Enclave, New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","11
+
Photos",Posted:   Yesterday,,,,,,"FURNISHING
Unfurnished","BATHROOM
3","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","SUPER AREA
400 sqyrd","FLOOR
1 out of 4","FACING
West","OVERLOOKING
Garden/Park, Main Road","BATHROOM
3","BALCONY
3",,"Builder floor apartment is available for rent in Safdarjung enclave first floor 3 bedroom, 3 bathrooms, lift, out side car parking. The monthly maintenance is Rs 7500/-.","₹
1 Lac",Security Deposit,Contact Agent ,Get Phone No. 
"3 BHK Builder Floor for Rent in Defence Colony, New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","8
+
Photos",Posted:   Today,Agent: Buniyad Realty Ltd.,Operating Since: 1985,,,,"FURNISHING
Semi-Furnished","BATHROOM
3","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
234 sqyrd","FLOOR
Ground out of 4","FACING
North","OVERLOOKING
Garden/Park","BATHROOM
3","BALCONY
2",,"Builder floor available for rent in defence colony, plot area 234 sqyds, located on the ground floor, north facing, park facing, with lift and stilt parking, this property has 3 good bedrooms with attached washrooms, 2 cars parking in stilt area, spacious drawing dining, modular kitchen, and modern fittings in washroom, balconies. This property has all modern fixtures, fitting, italian tiles and there is proper ventilation available, good specification, wide road, security available, near to metro connectivity, freehold property. Contact us for more details. The monthly maintenance is Rs 5000/-.","₹
1.5 Lac",Security Deposit,Contact Agent ,Get Phone No. 
"4 BHK Builder Floor for Rent in Vasant Vihar Builder Floor, Vasant Vihar, New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","14
+
Photos","Posted:   Jan 09, '25 ",Agent: Findahouse,Operating Since: 2000,,https://www.magicbricks.com/vasant-vihar-builder-floor-vasant-vihar-new-delhi-pdpid-4d4235303039383237,Vasant Vihar Builder Floor,"FURNISHING
Unfurnished","BATHROOM
4","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
380 sqyrd","FLOOR
3 out of 4","FACING
South -West","OVERLOOKING
Garden/Park, Main Road","SOCIETY
Vasant Vihar Builder Floor","BATHROOM
4","BALCONY
3",4bhk builder floor for rent in vasant vihar. This is on the third floor with terrace of 4 floor building. This floor comes with 4 bedrooms with attached bathrooms and 3 balconies. This builder floor provides you the covered area of 400sq. Yards. Rent price of this floor is 2. 80 lac per month The monthly maintenance is Rs 5000/-.,"₹
2.8 Lac",Security Deposit,Contact Agent ,Get Phone No. 
"3 BHK Builder Floor for Rent in Malviya Nagar, New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","11
+
Photos","Posted:   Jan 09, '25 ",Agent: MV Properties,Operating Since: 2006,,,,"FURNISHING
Unfurnished","BATHROOM
3","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
2250 sqft","FLOOR
2 out of 3","FACING
East","OVERLOOKING
Garden/Park, Main Road","BATHROOM
3","BALCONY
3",,owner Free The monthly maintenance is Rs 500/-.,"₹
80,000",Security Deposit,Contact Agent ,Get Phone No. 
"4 BHK Builder Floor for Rent in Vasant Vihar, New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","4
+
Photos","Posted:   Dec 17, '24 ",,,,,,"FURNISHING
Semi-Furnished","BATHROOM
5","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","SUPER AREA
400 sqyrd","FLOOR
2 out of 4","FACING
East","OVERLOOKING
Garden/Park","BATHROOM
5","BALCONY
3",,"Specious builder floor available for rent in Vasant vihar having Second floor, 400sq. yards, 4 bedrooms with attached bathroom, living room, modular kitchen, all rooms have ac, and bathrooms have geysers, fitting and fixtures, lift, servant quarter, Vaastu perfect, power backup, security, fully ventilation with sun light in all rooms, 24 hrs. water supply, no rear power cut, easy to accessibility in all area, wide road. We have so many options available in other areas.  For more details, please feel free or contact with Us.MANY MORE OPTIONS AVAILABLE IN SOUTH DLEHI.","₹
2.6 Lac",Security Deposit,Contact Agent ,Get Phone No. 
"4 BHK Builder Floor for Rent in Vasant Vihar, New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","4
+
Photos","Posted:   Dec 17, '24 ",,,,,,"FURNISHING
Semi-Furnished","BATHROOM
5","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","SUPER AREA
400 sqyrd","FLOOR
2 out of 4","FACING
North - East","OVERLOOKING
Garden/Park","BATHROOM
5","BALCONY
2",,"Property Available for Rent Second floor with new interior, luxurious builder floor available for Rent in Vasant Vihar, plot size 400sq. yards having 4 bedrooms with attached bathrooms, drawing, dinning, powder room, modular kitchen with modern amenities, semi furnished like, wardrobes, ac, geyser, chimney property have servant quarter, lift, stilt 2 car parking, security, power backup, excellent location with wide road. We have many more options available in south Delhi.We assure you that we will get you the best house in south Delhi as per your requirements with smooth and professional.","₹
2.6 Lac",Security Deposit,Contact Agent ,Get Phone No. 
" Studio Apartment for Rent in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","4
+
Photos","Posted:   Jan 09, '25 ",,,,https://www.magicbricks.com/dlf-capital-greens-1-and-2-moti-nagar-new-delhi-pdpid-4d4235303031303330,DLF Capital Greens 1 and 2,"FURNISHING
Furnished","BATHROOM
1","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
367 sqft","FLOOR
5 out of 14","FACING
North - East","OVERLOOKING
Garden/Park, Main Road","SOCIETY
DLF Capital Greens 1 and 2","OWNERSHIP
Co-operative Society","BATHROOM
1","IRK or studio apartment is available for Rent in DLF Capital greens, one The monthly maintenance is Rs 1000/-.","₹
25,000",Security Deposit,Contact Agent ,Get Phone No. 
